Id,SalePrice
1461,102749.838991593
1462,162120.008880485
1463,160373.069214416
1464,182322.841419954
1465,180431.496286975
1466,166913.51792608
1467,186085.79484307
1468,153458.246295714
1469,193709.07349511
1470,104730.837388339
1471,190773.678172367
1472,99572.84173042
1473,78882.71145054
1474,135194.160470907
1475,96073.9248006684
1476,335948.503882716
1477,237887.979912632
1478,307238.365389739
1479,288239.777477059
1480,412223.232644162
1481,272175.380222023
1482,207088.996522762
1483,176782.466584542
1484,160725.105675091
1485,195925.845962509
1486,200815.610853637
1487,280088.87849442
1488,243692.038215453
1489,184022.482368052
1490,232391.802479215
1491,208594.557918335
1492,88873.6003414453
1493,197199.840263381
1494,282044.089672393
1495,261652.504223089
1496,232672.954337751
1497,163005.370230059
1498,162957.163332094
1499,159971.700094275
1500,153778.158697715
1501,209435.398218228
1502,150540.35054554
1503,260002.466185329
1504,237933.841743508
1505,219118.516677395
1506,183074.807813148
1507,237190.627038728
1508,194080.027854611
1509,143576.431540931
1510,120782.045556914
1511,150462.900177962
1512,169832.422594348
1513,141483.396544843
1514,128751.97963082
1515,196214.281168359
1516,169870.376729256
1517,160641.365858749
1518,111938.04340811
1519,226591.929851837
1520,120029.004155413
1521,112188.801497383
1522,186242.454939305
1523,87897.1141413981
1524,118950.143867095
1525,96908.9755781256
1526,76800.1156593347
1527,79480.4062406477
1528,145062.652360178
1529,136592.021334032
1530,206718.334233067
1531,150131.525176515
1532,98980.253726549
1533,157210.214755699
1534,145424.854902393
1535,145157.341372938
1536,100909.438793961
1537,31622.3030491308
1538,147068.859774771
1539,218821.013828273
1540,90845.6714856783
1541,133070.350831327
1542,130598.922186869
1543,175759.688440709
1544,81437.2706853892
1545,98723.3150656768
1546,128422.905614435
1547,141972.357389847
1548,123406.70287443
1549,97611.8525423594
1550,118590.826495697
1551,121145.240718482
1552,141471.883855425
1553,151195.347836366
1554,110969.688242636
1555,150653.859107198
1556,116722.61971322
1557,95033.620441095
1558,117555.493221057
1559,64775.9827199499
1560,125166.363452958
1561,125719.463960846
1562,127775.920522925
1563,112763.26718539
1564,144364.573899048
1565,131308.293808347
1566,224835.838783851
1567,80220.734722286
1568,229733.489993901
1569,127422.276758676
1570,135250.855179804
1571,89766.8235068824
1572,127886.657768378
1573,233115.703049025
1574,106747.292537292
1575,216587.286343142
1576,241181.410675015
1577,184564.195467119
1578,144553.044861517
1579,113616.82573782
1580,186450.566249459
1581,149629.610746202
1582,116088.141195921
1583,274756.614885374
1584,221634.112797348
1585,146945.929264959
1586,81705.7208037023
1587,102931.273976436
1588,145016.749979549
1589,107332.510734182
1590,121689.070005452
1591,60747.4201488346
1592,134619.276176982
1593,124285.669299336
1594,165186.329652384
1595,96334.2574431794
1596,215791.618327757
1597,161812.55201131
1598,191206.581030822
1599,173283.92798148
1600,171649.497317839
1601,24853.8668496963
1602,101717.382507673
1603,74427.7444373127
1604,253506.326378319
1605,239886.998809446
1606,162546.670776401
1607,153200.86832639
1608,225337.323897949
1609,187832.168402571
1610,147068.739994991
1611,125532.172129028
1612,182302.586118602
1613,160096.111156641
1614,125978.959309675
1615,64282.4035941968
1616,39579.3768772162
1617,57112.2607951774
1618,103291.529661059
1619,152910.887807101
1620,153829.532588611
1621,124971.901950112
1622,153523.532385345
1623,252604.956071202
1624,196225.350033808
1625,109783.322895732
1626,176491.127555718
1627,181962.096786747
1628,266108.047386963
1629,170804.142314271
1630,297006.524684357
1631,202463.461660463
1632,216940.387039913
1633,180065.804808537
1634,179088.602037553
1635,179771.457704304
1636,157933.928046884
1637,190215.278700375
1638,195493.283070612
1639,176596.306939109
1640,252855.890902093
1641,176458.64607112
1642,246161.069933468
1643,216430.75009122
1644,233448.474670818
1645,219931.932420643
1646,163946.257536793
1647,158124.803754
1648,118344.989820955
1649,137499.387616165
1650,96230.6817074898
1651,104281.711490217
1652,99017.0278599588
1653,97831.262242517
1654,134720.531814899
1655,128702.711059379
1656,124435.018961121
1657,136039.588224676
1658,135885.45800226
1659,100127.760787913
1660,141444.510578787
1661,402167.506167585
1662,323944.306390215
1663,354943.416898302
1664,410758.535937435
1665,315896.208619989
1666,289790.680364854
1667,325486.386379716
1668,339157.227856422
1669,299551.843281445
1670,335029.098333609
1671,251079.38763068
1672,372403.53415626
1673,277320.356118351
1674,244914.766363375
1675,198350.791184266
1676,194067.892685333
1677,208425.966294004
1678,391985.510800506
1679,338935.246835828
1680,307184.406309555
1681,276345.632275278
1682,286830.827728197
1683,188668.628928402
1684,187092.602736586
1685,185825.609653754
1686,169901.563021314
1687,180246.286247606
1688,201112.673600354
1689,204774.465968735
1690,203873.769647337
1691,197262.502828207
1692,257528.662090682
1693,180751.181094158
1694,172705.107103398
1695,162525.148861611
1696,264519.4243326
1697,160394.846426447
1698,300767.941081025
1699,307360.216196855
1700,241414.185604494
1701,260301.38131817
1702,244796.269484093
1703,241467.593130194
1704,265715.846443854
1705,265216.787655476
1706,350216.784326545
1707,209161.50398061
1708,204693.956369997
1709,261754.923376029
1710,225345.553568959
1711,275584.164206387
1712,248297.135676338
1713,263861.241140346
1714,222885.631330545
1715,206834.360302421
